GEOID,NAME,variable,estimate,moe
53023,"Garfield County, Washington",edu_11th,9,21.4468085106383
53023,"Garfield County, Washington",edu_12th,26,26.212765957446805
53023,"Garfield County, Washington",edu_hs,353,126.29787234042553
53023,"Garfield County, Washington",edu_ged,41,26.212765957446805
53025,"Grant County, Washington",pop,97874,NA
53025,"Grant County, Washington",pop_white,62182,2014.8085106382978
53025,"Grant County, Washington",pop_black,1036,153.70212765957447
53025,"Grant County, Washington",pop_native,1589,629.1063829787233
53025,"Grant County, Washington",pop_asian,994,260.93617021276594
53025,"Grant County, Washington",pop_latinx,41630,NA
53025,"Grant County, Washington",edu_total,59904,176.3404255319149
53025,"Grant County, Washington",edu_8th,1265,383.6595744680851
53025,"Grant County, Washington",edu_9th,1887,557.6170212765957
53025,"Grant County, Washington",edu_10th,901,327.6595744680851
53025,"Grant County, Washington",edu_11th,1155,300.25531914893617
53025,"Grant County, Washington",edu_12th,1190,330.04255319148933
53025,"Grant County, Washington",edu_hs,13147,1100.936170212766
53025,"Grant County, Washington",edu_ged,3660,534.9787234042553
53027,"Grays Harbor County, Washington",pop,74737,NA
53027,"Grays Harbor County, Washington",pop_white,63566,714.8936170212766
53027,"Grays Harbor County, Washington",pop_black,1004,179.91489361702128
53027,"Grays Harbor County, Washington",pop_native,2760,442.04255319148933
53027,"Grays Harbor County, Washington",pop_asian,1026,201.36170212765956
53027,"Grays Harbor County, Washington",pop_latinx,7879,NA
53027,"Grays Harbor County, Washington",edu_total,54397,171.5744680851064
53027,"Grays Harbor County, Washington",edu_8th,458,156.08510638297872
53027,"Grays Harbor County, Washington",edu_9th,727,293.1063829787234
53027,"Grays Harbor County, Washington",edu_10th,980,290.7234042553191
53027,"Grays Harbor County, Washington",edu_11th,1357,343.1489361702128
53027,"Grays Harbor County, Washington",edu_12th,669,189.44680851063828
53027,"Grays Harbor County, Washington",edu_hs,14972,1241.5319148936169
53027,"Grays Harbor County, Washington",edu_ged,4095,650.5531914893617
53029,"Island County, Washington",pop,85938,NA
53029,"Island County, Washington",pop_white,70430,904.3404255319149
53029,"Island County, Washington",pop_black,2362,399.1489361702127
53029,"Island County, Washington",pop_native,971,299.06382978723406
53029,"Island County, Washington",pop_asian,3949,468.25531914893617
53029,"Island County, Washington",pop_latinx,7226,NA
